user_id,prod_id,rating,label,date,text_
5144,1,1,1,4/16/2014,Ordered pick up 2x this week. Both times food was burnt. Called only the second time to complain offered to give me more shitty food told them no thanks I don't even want to eat. Was asked if I wanted my $ back so I said sure. 3 ppl later a nasty woman aid in order to get my $ I needed to bring my good back. I already wasted my time and appetite and I have to go back to them? No thanks save your time and patience.
5145,1,1,1,2/21/2014,U have to be drunk to eat the food here They should be ashamed to serve this I came her with my pregnant wife and she stopped eating in fear of the safety of our un born child They give u paper plates to eat off of .....
5146,1,5,1,2/15/2014,Delicious Wings! Delicious Thin Pizza! Love this spot to pig out!
5147,1,2,1,12/28/2013,"This is more of a 2 1/2 star review. The sad thing is, I go here pretty frequently because I can walk here. If you want to drink Yuenglings or Bud light and watch baseball, hockey and football, go here. They have a lot of TVs and a projection screen where you can usually catch the Yankees or Devils. I don't care about football, but I assume you can watch the Giants here. I don't think people actually like the Jets. If you want to go to a bar and hang out and act like a civilized human being, eat something of sustenance, and not hang out with the Old Man Budweiser Crowd and Bayonne Police Department go somewhere else. Lot 13 is cool. Venice is cool. The food is not edible, except for the pizza. But Bayonne is land of pizza and there are other, better options. I don't love this bar. But it is the closest place to my apartment."
5148,1,1,1,5/25/2013,"I went there to grab something to eat. Mind you, I am not reviewing the bar area since I did not hang out there. I am only reviewing the dinning side. You walk in, and all you see is green everywhere: chairs, rug (that looks quite dirty) and wallpaper. With that being said, the ambience it is pretty horrible. I noticed that everyone walking in could qualify for medicare -- so if you are within that age group, maybe you will like this place. if you are in your 20-30s, just go somewhere else. We sit down and at this point, I am praying the food to be good. We ordered the wings which were ok, nothing special. My husband ordered a pizza which was good (I would actually consider ordering it for delivery). I got an antipasto salad. It was ok. Also the menu is extensive, pretty regular american cuisine menu. Seems like most people go there for the thin crust pizza. The service was not good, the waitress forgot about my salad, she tried to play it off but it was quite obvious. Never got a refill for my drink. Needless to say it was not a good experience overall. Maybe if they put a few dollars into fixing this place it would be worth something. As it currently stands I would stay away from it."
5149,1,3,1,12/24/2012,"This place used to be one of my favorite sports bars, to some extent it still is. I used to come here all the time, it is a great place to sit and watch sports , got good projectors , giants screens for the big games and good tenders. The bar par is absolutely amazing, although recently it seems like they are doing something different and it just isnt as good. But even with not being as good as it normally is , its still a great bar pie. ˜Thin crusted and well done for a bit of crispness. Yumm! That quality of your night here is kinda of hit or miss depending on the crowd. ˜Its seems like over the last few years there have been a lot more of your older sit in a corner and get nearly pass out drunk types. The types that either get alittle to chatty and friendly or try to hit on anything that movies by yelling at it. (Think what a typical shore guido would be 40 years from now) But if you get a good crowd its still a great time when people arent getting to belligerent . It gets pretty crowded for the football games so come early to grab a good spot. It makes for a nice Sunday , but if ˜its not a Thursday/Friday night or some sports event is going on the crowd gets weird. ˜Come on a weekend or a Friday night and your all set for a good time any other night is hit or miss. PS huge parking lot around back for easy parking."
5150,1,2,1,6/26/2012,Pizza use to be pretty good but the quality has gone to hell. ˜If you do decide to order from here and have it delivered make sure you do it in advance as it seems to always take them over an hour to get you your food even if it's being delivered only 15 block away. So expect your food to be stone cold....and I mean cold. ˜Think of eating food that was sitting on the table for 3 hours then eat it. ˜Very disappointing considering the food (albeit bar food) didn't ˜always lack this much in quality from there.
5151,1,4,1,7/21/2011,"This place has the best thin crust pizza, period. People rave about Pete and Elda's at the shore, and there are other places around the state with some decent thin crust pizza, but THIS is the real deal. As I understand it, it's the exact same pizza recipe that was used at EJ's in Bayonne back in the day. I went to EJ's A LOT as a kid growing up in Jersey City, and can confirm that it really is the exact same stuff. Perfectly cooked thin crust, lots of cheese and tasty sauce. It's thin crust pizza done right! Don't come here for fancy decor, prompt and professional service, or any bells and whistles. Go here for PIZZA. This is Bayonne, and this place represents Bayonne pretty accurately, in my eyes. It's the best representation of Bayonne thin crust pizza. Go to the place down the street if you don't want the super thin crust."
5152,1,1,1,6/24/2011,worst ˜pizza I ever had!
5153,1,4,1,2/22/2011,"It's a good place to watch a game, have a few beers, and apps. There is a decent menu. I'm a fan of the buffalo blasts and the Steak Murphy wrap. During the warmer months, there's a tiki bar."
5154,1,4,1,10/15/2010,"I love the big apple bar. ˜It is thier thin crusted pizza that keeps me coming back, its the best! ˜if u have a big appetite order two pies bc the crust is so thin u can see through it...LOL......i have never eaten a main course thiere but thier appetizers are awesome as well the fried raviolis and the fried mac and cheese bites.....delicious..... basically this place is good for appetizers a couple beers and of course pizza"
